m/z	RT
934.8805	19.08
524.3836	2.632
960.8594	18.174
1010.7123	2.114
858.5762	6.383
878.7443	14.886
226.9513	0.955
1070.3492	16.615
851.7095	17.382
1424.3913	17.381
790.6925	16.504
1054.2975	15.982
834.6543	9.887
631.6032	11.125
1007.6907	2.139
617.604	11.125
816.5756	7.777
707.6295	18.147
1329.1332	8.351
812.6076	7.887
1131.3149	16.394
807.5704	7.53
244.1907	2.936
769.5932	8.325
892.8243	18.256
908.8647	19.052
962.8751	18.147
956.8275	17.491
1220.1512	11.125
186.0582	23.105
834.6008	7.505
830.554	3.016
1323.267	18.859
757.6533	15.187
714.603	15.16
815.563	3.07
931.8529	18.444
360.3156	2.934
557.5332	8.352
1343.2261	18.092
853.8052	18.092
1086.0826	8.243
788.6018	8.405
889.7687	17.489
724.6149	15.05
783.6175	8.513
684.6291	18.502
797.6059	8.513
918.8314	18.092
897.8467	18.092
822.6383	9.448
904.6351	6.411
716.6252	17.6
880.8138	18.092
784.6416	8.543
584.5254	9.613
696.5927	15.16
868.654	8.571
785.5784	6.52
1191.1255	11.015
786.6319	8.735
817.7114	16.559
899.7783	17.217
796.7394	17.901
682.6141	23.121
818.6384	8.434
688.6517	23.037
770.5692	6.958
876.6838	11.07
702.863	0.955
668.6346	23.093
698.6636	18.365
544.337	2.084
824.5804	4.587
594.6017	12.035
543.3813	2.081
391.2762	3.596
790.6128	8.762
367.3375	16.725
1149.3449	7.368
616.6068	8.216
257.2263	18.037
798.5652	5.141
566.3214	1.702
837.682	12.92
803.5592	4.56
1446.6343	8.762
577.519	18.092
499.3465	2.004
835.667	11.454
778.6923	16.752
664.603	15.05
400.3786	6.219
1148.3417	7.395
768.6863	15.397
823.6668	12.007
541.5245	8.297
831.8084	18.037
839.5627	2.961
810.5761	8.516
836.7612	17.573
816.6941	11.125
370.3546	17.382
921.7738	17.05
1056.2962	16.009
664.6028	15.132
766.5749	7.121
827.6	5.502
160.7933	8.707
740.6045	8.243
346.3274	2.849
668.6055	16.449
586.5407	10.988
805.5493	3.596
905.5938	6.52
913.8588	18.092
1302.1202	8.352
243.117	16.504
835.6024	9.146
631.6032	11.207
212.0743	23.038
865.5648	6.301
283.2824	2.688
684.6295	23.037
650.5952	18.01
754.5387	5.887
878.7808	17.354
806.7235	17.627
1026.6151	7.86
866.8088	18.229
875.7605	17.791
295.2268	0.617
878.7442	15.023
841.5738	6.383
698.6117	16.725
367.3361	22.733
740.6381	15.214
774.5919	8.051
226.6861	7.423
758.5601	6.301
708.6289	15.405
1026.6152	7.805
1363.1883	15.16
712.6454	16.229
941.8278	17.873
884.7702	17.3
226.6864	17.791
753.558	6.629
810.6258	8.543
820.525	7.203
785.7162	17.573
739.5652	9.036
769.6286	8.434
815.5632	4.45
803.5728	8.405
1004.6329	7.751
727.5634	15.05
895.758	17.026
846.2926	14.94
725.6187	15.187
527.5224	7.53
767.5593	8.516
955.8367	17.928
395.3526	2.852
430.3762	8.024
777.549	6.684
918.6511	6.411
869.7427	16.752
1364.1916	15.16
1027.9961	18.393
1473.9806	2.193
695.6532	18.01
771.6104	9.393
876.8298	18.092
716.6824	17.354
855.7897	18.092
883.6902	8.405
367.3362	23.039
1021.9643	18.393
226.6864	2.003
391.2948	3.598
786.5808	7.149
773.6257	9.641
1212.1099	11.125
823.7482	17.382
564.5235	8.161
495.3274	1.645
1107.0615	8.243
866.8176	18.529
1365.195	15.324
699.684	18.365
827.5998	5.251
700.5722	7.121
934.8441	17.737
879.7403	17.791
838.5592	4.147
758.5338	7.368
790.6925	16.471
770.8504	0.955
800.6175	9.448
667.6239	22.939
862.7865	18.256
