m/z	RT
614.5564	12.794
700.9895	5.654
715.6636	14.986
672.6408	14.986
664.4544	2.908
804.6214	8.477
606.6183	17.68
464.1439	5.406
670.6499	18.859
679.4898	5.61
582.5929	8.862
767.5586	3.629
1216.3865	17.132
767.56	4.184
595.3971	2.853
766.6912	17.378
702.6508	15.068
1366.423	17.515
614.5877	12.685
808.0903	9.834
877.6458	7.396
773.5511	6.65
259.2419	18.419
756.5757	6.623
710.6639	18.446
633.9361	3.606
826.7767	18.063
736.8556	1.029
982.2774	15.371
771.5366	4.016
780.0587	8.439
1039.7391	5.654
672.5769	18.008
1311.9316	4.514
731.7156	15.095
1076.3044	9.0
994.1821	4.514
779.2306	4.679
838.4995	2.304
1029.7901	16.995
891.8209	18.31
538.1618	6.815
782.7234	17.789
669.9503	4.514
782.5568	7.423
807.7268	17.597
1365.4246	17.515
692.4845	5.681
790.5582	7.437
913.0965	2.881
595.4312	2.881
698.4872	2.908
717.6373	17.789
874.6271	6.596
772.5479	4.514
684.6306	23.23
394.2647	1.863
994.6835	4.522
651.4424	2.468
760.6596	17.406
476.7396	1.029
641.9188	3.579
717.4888	2.882
758.5977	7.382
680.4498	2.689
587.5483	10.387
788.5846	9.826
689.4346	4.514
932.8642	18.831
834.6685	11.107
909.8678	19.052
1232.0377	12.822
918.7616	16.556
1152.3674	8.422
287.2732	18.419
642.6033	23.422
233.2262	18.419
1337.2355	18.419
1287.358	17.707
784.5728	8.449
608.6342	18.172
1251.3477	17.597
807.5885	9.834
1204.9038	9.807
846.2915	15.068
1372.3809	13.877
1145.3659	16.913
614.572	23.202
856.5099	2.468
756.5305	6.623
738.5452	14.986
399.2507	1.532
669.656	18.446
838.4994	2.523
992.7805	16.83
1305.2173	18.419
861.774	17.707
1319.1829	18.392
682.6497	18.528
1132.3123	16.391
641.5901	12.658
804.5387	2.166
644.6092	12.685
879.6617	8.422
997.1904	4.542
759.5891	7.396
762.5793	7.368
642.586	12.631
879.8107	18.117
786.6005	8.586
226.9513	0.974
740.676	16.83
790.6501	11.135
737.3576	1.029
688.6046	23.23
1327.2777	18.364
781.0518	7.437
562.41	2.332
906.839	18.419
1175.3291	17.433
955.7715	16.693
1286.8586	17.707
667.4373	2.166
184.0727	2.853
1288.1002	15.067
769.5525	4.542
1320.1857	18.419
1028.2464	5.654
1103.8093	17.214
818.723	17.597
791.5613	7.368
821.5367	2.139
960.8955	19.135
610.6243	10.408
455.2484	1.056
725.6547	18.419
454.2642	0.865
810.106	11.129
760.5552	8.412
1175.8294	17.406
512.3092	0.837
790.692	16.583
1194.4141	9.834
1290.4048	17.324
730.217	15.095
748.1877	0.975
369.3585	17.433
714.6182	17.597
893.49	2.386
552.571	17.159
962.9112	19.384
809.6039	11.102
668.6097	18.446
764.5965	8.412
657.4272	1.753
340.3479	4.35
922.8805	19.19
752.676	16.556
1197.4378	11.102
681.5	3.606
653.4687	2.881
792.627	9.799
1291.194	17.981
907.6928	9.834
651.4425	2.304
643.6081	23.23
1219.0734	12.822
832.7387	17.597
664.5349	15.013
679.5282	5.637
832.6526	9.834
477.2625	2.111
1262.9781	16.83
613.8871	2.855
931.4925	1.056
881.7568	18.117
629.5899	12.685
643.6232	15.068
1159.8482	8.412
694.6327	18.008
1100.3113	17.214
1148.3402	7.396
644.6091	12.822
802.6055	7.396
372.3615	18.392
687.632	12.794
721.4477	0.616
1002.2856	7.896
778.586	8.449
687.6478	18.419
1324.1887	18.474
819.6656	12.822
881.8364	18.693
1325.1923	18.474
803.526	2.523
840.5106	8.477
678.4818	5.681
559.5169	8.834
1214.3382	17.515
697.9809	5.61
644.927	3.606
580.6025	17.707
932.8273	17.789
840.5146	2.826
459.2741	2.138
1297.2408	18.419
822.7556	23.065
378.7534	1.863
767.5436	6.608
793.7105	17.378
549.3402	1.753
730.6821	15.068
767.5599	3.241
860.7704	18.063
840.5148	2.468
798.7455	17.707
441.2858	1.946
762.601	9.028
669.6218	14.986
1429.3868	17.378
836.7607	17.597
524.3709	2.606
696.4366	3.711
678.4789	5.637
876.4718	2.855
1364.4236	17.515
662.469	4.514
1151.3638	8.422
1163.3581	8.412
605.9047	2.853
1287.8577	17.707
383.3993	4.358
791.6581	11.107
767.5588	5.654
934.8436	18.117
936.8959	19.328
1320.1962	18.392
794.643	11.107
790.6006	11.075
675.5898	16.032
736.587	17.488
629.5901	12.794
786.5278	2.468
824.5195	2.908
910.088	2.855
1196.4343	11.102
879.7409	17.789
900.7917	17.515
767.5591	5.736
998.1937	4.522
903.1088	2.855
310.3107	3.408
703.8655	1.056
1355.3683	17.159
680.6341	18.419
844.4828	3.739
867.8205	18.528
803.5584	4.549
815.6095	6.65
686.6356	18.419
844.7384	17.214
779.6954	16.748
768.0455	6.623
688.6274	17.433
692.6153	17.433
702.4948	5.654
842.5079	8.477
930.8482	18.473
1156.1111	1.056
777.5828	8.521
848.2888	14.904
640.4287	1.753
995.1855	4.514
721.5068	8.752
1293.4032	17.324
767.5589	2.799
1219.3845	17.105
577.3084	1.781
765.615	8.422
1058.2937	16.006
877.4766	2.441
538.3747	1.781
693.6375	18.117
774.5648	5.081
1321.162	18.008
1277.1953	18.419
690.5004	5.61
725.6634	18.008
859.6063	6.431
893.8366	18.528
366.3727	5.544
1176.8276	17.433
1193.4111	9.799
1140.8185	17.324
636.5037	12.822
642.6275	15.068
685.6327	23.065
881.7526	16.391
840.5148	2.881
657.5854	14.986
229.1949	18.419
1278.3536	19.052
1208.4283	11.102
425.7927	2.332
1307.2325	18.419
718.64	17.378
688.5937	17.05
1205.4052	9.826
687.6317	12.658
994.3303	16.446
788.5441	4.072
643.5876	15.013
698.6283	15.068
212.0738	17.351
708.5114	8.714
795.5122	6.623
670.6497	18.611
1092.8066	18.611
1093.3059	18.611
1055.7966	18.528
356.4158	2.469
1319.1936	18.392
778.6917	16.995
722.5439	5.626
665.606	17.652
1162.355	8.395
702.6512	14.986
877.7942	17.789
343.3112	15.068
741.5212	3.606
787.604	8.779
704.4495	2.221
820.7398	23.065
921.8678	18.941
981.2779	18.31
1367.4221	17.515
808.5918	9.799
909.7086	11.107
1361.377	17.844
1156.824	7.396
594.6182	17.899
657.4091	3.157
688.5771	17.406
367.3356	17.05
790.6623	11.107
621.5331	12.631
775.5661	7.437
1159.3312	7.368
949.8997	19.218
768.7078	17.707
532.4393	8.779
652.6101	18.419
669.6376	23.422
661.4026	3.579
758.2223	10.776
691.5422	17.05
1324.3673	17.762
1211.8397	17.515
812.761	17.871
1329.0343	17.871
763.6044	9.67
946.8803	19.024
215.1793	18.419
650.4467	4.514
774.5625	8.449
781.7109	17.597
870.7539	17.159
674.5869	17.159
666.4333	1.808
1177.3281	17.433
678.4704	2.551
552.3291	1.808
819.726	17.378
695.6529	18.035
808.7294	17.214
1499.4108	17.57
1320.1582	18.035
1286.3587	17.707
321.3152	4.35
793.711	17.597
822.4854	2.578
1319.2168	18.035
681.4531	2.111
630.1925	3.046
920.4188	8.504
774.5649	4.128
710.6437	17.378
873.4415	6.431
685.2041	9.363
1160.3346	7.382
794.7138	16.995
674.5926	18.364
1036.7305	5.61
642.5797	15.013
752.582	17.488
816.6472	11.244
1092.3068	18.611
707.6447	18.035
641.5904	12.849
674.5926	18.474
623.4298	3.606
875.4788	2.826
455.2689	1.029
273.2575	18.419
848.7606	17.488
421.3246	6.444
995.3311	16.446
1063.3019	17.105
780.5854	5.626
709.5281	15.068
794.724	23.065
655.6055	15.013
897.773	17.351
1029.2497	5.637
303.2315	17.406
880.7962	17.762
670.4515	4.514
212.0738	18.337
1215.1213	12.658
691.6215	17.68
551.5587	16.501
1281.3499	16.94
760.6072	8.521
878.4886	2.386
681.4968	12.631
808.7397	23.065
650.4384	7.368
669.622	18.392
718.4625	2.908
792.5748	8.449
802.5223	2.826
780.5414	6.596
745.5518	8.724
610.4078	2.882
219.2106	18.419
767.5584	6.514
739.5477	15.068
889.8055	18.008
623.4661	3.606
1240.8447	18.969
1056.296	18.528
401.2544	1.863
1204.4018	9.807
1361.8768	17.844
746.5702	7.729
656.5829	23.065
744.6279	17.433
1288.3572	17.707
713.6756	15.04
611.1847	8.147
820.739	18.528
1330.0377	17.871
982.2771	18.31
657.585	15.068
658.4031	3.157
872.437	6.608
1196.8231	7.382
680.6338	17.981
702.6391	18.419
804.7072	16.995
208.0967	0.645
826.9972	1.781
843.4898	3.739
752.5539	4.549
1207.4253	11.135
864.7921	17.981
1324.8668	17.762
779.0363	6.623
700.6243	23.065
730.6825	14.986
1099.68	1.781
918.8486	18.611
819.0152	1.781
341.2988	15.013
360.1498	0.645
778.5445	7.341
858.8265	18.063
1241.3443	18.969
1315.3627	19.135
1323.8678	17.762
336.3257	3.601
666.6372	18.008
203.1793	18.446
695.5635	17.378
1094.6653	1.781
717.6202	17.378
226.6862	18.035
580.3971	2.551
780.5608	8.412
733.5577	7.065
367.3359	18.419
682.4656	2.745
579.59	17.159
767.5622	0.013
1251.8473	17.597
854.8077	18.364
944.2687	18.227
774.5649	4.24
1360.8773	17.844
748.65	17.406
805.7111	16.83
667.4373	0.7
658.5973	15.068
1352.3733	19.19
556.3354	0.81
1322.4268	4.514
1234.0449	12.631
666.5996	18.035
1248.8494	17.597
684.649	14.986
923.8838	19.19
785.5159	2.606
767.5599	6.098
896.7697	17.488
1174.83	17.433
1214.8378	17.515
642.5868	12.849
685.4356	8.724
1277.8539	19.052
627.5828	15.068
765.6796	16.501
656.6181	12.767
566.5865	17.324
790.5499	3.739
1323.9318	4.514
933.8681	18.831
1204.3347	18.886
676.4536	7.368
759.5536	7.3
1207.3305	16.693
716.6388	15.067
1276.1926	18.419
1201.8952	9.834
656.6181	12.63
1160.3492	8.449
767.5584	6.732
1398.8863	17.926
421.3245	6.636
732.2156	15.123
1129.816	18.693
727.4651	2.826
1055.2968	18.528
1130.3155	18.722
1203.835	18.886
762.4584	5.654
983.2766	15.371
694.5118	4.514
654.6187	18.2
247.2419	18.446
759.5421	7.409
1314.8631	19.135
950.9114	19.466
710.5347	17.378
894.8489	18.886
1440.4426	17.68
724.6602	18.446
770.2254	15.619
364.236	2.826
1354.2406	18.419
961.8993	19.135
550.5553	16.995
667.6026	18.473
369.3436	18.035
823.4891	2.689
