m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
167.0566	16.268	1017	0.0	inf	False	False	1		
167.0603	2.611	15412	0.91	4.0	False	False	1		
167.0706	0.98	1774	0.54	99.0	False	False	1		
167.0822	0.98	1327	0.0	inf	False	False	1		
167.1013	2.704	1305	0.68	1.0	False	False	1		
167.1055	2.893	1134	0.0	inf	False	False	1		
167.106	0.483	1115	0.0	inf	False	False	1		
167.1063	13.125	1038	0.6	99.0	False	False	1		
167.1065	0.98	3288	0.0	inf	False	False	1		
167.1065	3.553	1144	0.0	inf	False	False	1		
167.1067	3.081	1238	0.0	inf	False	False	1		
167.1068	1.352	1479	0.0	inf	False	False	1		
167.1071	8.441	1083	0.0	inf	False	False	1		
167.1072	1.164	2635	0.0	inf	False	False	1		
167.1076	2.141	1877	0.0	inf	False	False	1		
167.1078	16.916	1092	0.0	inf	False	False	1		
167.1078	18.737	1122	0.66	0.0	False	False	1		
167.1078	9.571	1162	0.0	inf	False	False	1		
167.1082	0.705	1047	0.0	inf	False	False	1		
167.1085	3.883	1141	0.0	inf	False	False	1		
167.1144	2.704	1064	0.0	inf	False	False	1		
167.1418	1.164	1516	0.0	inf	False	False	1		
167.1425	2.188	1255	0.0	inf	False	False	1		
167.144	13.337	1077	0.0	inf	False	False	1		
167.1532	17.984	1147	0.0	inf	False	False	1		
167.1532	18.481	1135	0.0	inf	False	False	1		
167.1536	10.988	1437	0.0	inf	False	False	1		
167.1536	1.305	1095	0.0	inf	False	False	1		
167.1539	0.246	1211	0.0	inf	False	False	1		
167.1539	15.218	1325	0.53	99.0	False	False	1		
167.1541	0.893	1012	0.0	inf	False	False	1		
167.1542	4.214	1177	0.0	inf	False	False	1		
167.1542	19.074	1080	0.0	inf	False	False	1		
167.1545	9.524	1085	0.67	0.0	False	False	1		
167.1546	0.682	1062	0.0	inf	False	False	1		
167.1546	1.117	1095	0.0	inf	False	False	1		
167.1546	0.782	1141	0.0	inf	False	False	1		
167.1547	16.977	1132	0.0	inf	False	False	1		
167.1548	8.017	1068	0.0	inf	False	False	1		
167.1549	2.704	1025	0.0	inf	False	False	1		
167.1549	11.551	1401	0.76	99.0	False	False	1		
167.1549	13.278	1237	0.0	inf	False	False	1		
167.1549	17.397	1663	0.0	inf	False	False	1		
168.0374	2.611	25029	0.9	4.0	False	False	1		
168.0465	9.147	1394	0.73	99.0	False	False	1		
168.0467	16.334	3381	0.52	3.0	False	False	1		
168.047	2.611	3240	0.77	3.0	False	False	1		
168.0471	11.457	1121	0.0	inf	False	False	1		
168.0471	0.385	1073	0.0	inf	False	False	1		
168.0472	12.21	1167	0.0	inf	False	False	1		
168.0472	15.643	2857	0.62	2.0	False	False	1		
168.0474	16.886	1995	0.0	inf	False	False	1		
168.0474	18.233	1432	0.39	1.0	False	False	1		
168.0476	17.153	1386	0.0	inf	False	False	1		
168.0476	11.598	1184	0.0	inf	False	False	1		
168.0477	0.659	1062	0.0	inf	False	False	1		
168.0477	19.033	1172	0.72	99.0	False	False	1		
168.0477	17.316	1422	0.0	inf	False	False	1		
168.0478	11.882	1023	0.0	inf	False	False	1		
168.0479	15.513	3069	0.76	0.6	False	False	1		
168.048	13.231	1446	0.54	0.33	False	False	1		
168.048	16.168	4099	0.76	0.44	False	False	1		
168.048	16.472	3082	0.82	6.0	False	False	1		
168.0482	15.218	2244	0.83	1.0	False	False	1		
168.0487	0.033	1440	0.0	inf	False	False	1		
168.0488	16.977	1043	0.0	inf	False	False	1		
168.049	8.347	1124	0.0	inf	False	False	1		
168.0491	13.337	2307	0.0	inf	False	False	1		
168.0492	12.877	1465	0.0	inf	False	False	1		
168.0495	17.457	1044	0.0	inf	False	False	1		
168.0496	16.793	1117	0.0	inf	False	False	1		
168.0514	15.855	1236	0.0	inf	False	False	1		
168.0517	16.37	1079	0.0	inf	False	False	1		
168.1019	0.98	1151	0.32	1.0	False	False	1		
168.1394	15.124	1224	0.0	inf	False	False	1		
169.0388	2.611	2755	0.0	inf	False	False	1		
169.05	15.513	1201	0.0	inf	False	False	1		
169.0511	15.902	1110	0.0	inf	False	False	1		
169.0861	1.164	1623	0.0	inf	False	False	1		
169.0866	11.362	1203	0.0	inf	False	False	1		
169.0871	0.98	2158	0.0	inf	False	False	1		
169.1213	1.117	1961	0.72	99.0	False	False	1		
169.1216	12.924	1744	0.0	inf	False	False	1		
169.1218	2.141	1991	0.0	inf	False	False	1		
169.1228	2.329	1319	0.0	inf	False	False	1		
169.1236	13.231	1639	0.0	inf	False	False	1		
169.1324	0.98	1502	0.77	0.0	False	False	1		
169.1342	16.626	1000	0.0	inf	False	False	1		
169.159	1.117	1233	0.0	inf	False	False	1		
169.1704	0.98	1402	0.0	inf	False	False	1		
170.1173	9.618	1037	0.0	inf	False	False	1		
170.1538	15.265	1228	0.0	inf	False	False	1		
170.1543	2.141	1920	0.49	2.0	False	False	1		
170.1544	15.702	1124	0.0	inf	False	False	1		
170.1544	16.231	1136	0.0	inf	False	False	1		
170.155	1.117	1010	0.0	inf	False	False	1		
170.155	15.902	1600	0.0	inf	False	False	1		
170.1551	3.317	1054	0.0	inf	False	False	1		
170.1552	8.111	1143	0.0	inf	False	False	1		
170.1554	15.572	1747	0.0	inf	False	False	1		
