m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
165.1149	18.439	2712	0.15	3.0	False	False	1		
165.1164	17.149	1243	0.0	inf	False	False	1		
165.1273	1.085	2711	0.0	inf	False	False	1		
165.1285	2.152	1551	0.0	inf	False	False	1		
165.163	13.475	2084	0.48	1.0	False	False	1		
165.1632	5.846	2463	0.0	inf	False	False	1		
165.1635	15.075	2660	0.8	99.0	False	False	1		
165.1635	12.493	6229	0.68	3.0	False	False	1		
165.1637	12.956	1171	0.0	inf	False	False	1		
165.164	2.152	3815	0.0	inf	False	False	1		
165.1643	14.981	4211	0.0	inf	False	False	1		
165.1654	12.305	1899	0.0	inf	False	False	1		
166.0626	1.873	1721	0.0	inf	False	False	1		
166.0859	0.947	1561	0.0	inf	False	False	1		
166.0988	17.597	1059	0.0	inf	False	False	1		
166.1228	17.951	1165	0.0	inf	False	False	1		
166.9993	15.735	1237	0.0	inf	False	False	1		
167.0002	16.297	1185	0.0	inf	False	False	1		
167.0342	2.634	237308	0.93	2.0	False	False	1	151.0276;512.0	842.0
167.0412	2.634	29422	0.0	inf	False	False	1		
167.0428	2.821	2186	0.0	inf	False	False	1		
167.0554	16.12	1105	0.0	inf	False	False	1		
167.0604	2.634	15225	0.88	2.0	False	False	1		
167.0718	1.131	1005	0.0	inf	False	False	1		
167.0834	1.085	1860	0.0	inf	False	False	1		
167.1059	15.676	1249	0.67	0.0	False	False	1		
167.106	0.081	1018	0.0	inf	False	False	1		
167.106	8.323	1044	0.0	inf	False	False	1		
167.1063	9.837	1427	0.77	99.0	False	False	1		
167.1066	1.178	1834	0.71	3.0	False	False	1		
167.1067	2.53	1524	0.3	1.0	False	False	1		
167.1068	17.253	1007	0.0	inf	False	False	1		
167.1074	0.935	1253	0.0	inf	False	False	1		
167.1074	19.719	1423	0.78	0.0	False	False	1		
167.1179	0.935	1302	0.0	inf	False	False	1		
167.1415	13.192	1048	0.0	inf	False	False	1		
167.1433	1.225	1185	0.0	inf	False	False	1		
167.1529	16.369	1330	0.0	inf	False	False	1		
167.1533	17.544	1176	0.0	inf	False	False	1		
167.1534	19.49	1368	0.72	99.0	False	False	1		
167.1537	3.873	1182	0.0	inf	False	False	1		
167.1538	19.185	1018	0.0	inf	False	False	1		
167.154	15.972	1159	0.0	inf	False	False	1		
167.154	15.358	1219	0.0	inf	False	False	1		
167.154	9.557	1278	0.6	0.0	False	False	1		
167.1541	15.783	1033	0.0	inf	False	False	1		
167.1543	16.12	1185	0.0	inf	False	False	1		
167.1544	15.571	1176	0.0	inf	False	False	1		
167.1545	0.248	1055	0.0	inf	False	False	1		
167.1548	18.16	1311	0.74	99.0	False	False	1		
167.155	2.541	1157	0.0	inf	False	False	1		
167.1557	1.178	1533	0.0	inf	False	False	1		
168.0375	2.588	24216	0.78	4.0	False	False	1		
168.0463	19.026	1367	0.0	inf	False	False	1		
168.0466	2.588	2821	0.77	99.0	False	False	1		
168.0467	10.882	1416	0.0	inf	False	False	1		
168.0468	11.354	1121	0.0	inf	False	False	1		
168.0471	15.122	1723	0.0	inf	False	False	1		
168.0471	18.73	1347	0.0	inf	False	False	1		
168.0472	15.453	1857	0.43	0.2	False	False	1		
168.0472	16.893	1343	0.71	99.0	False	False	1		
168.0473	13.429	1564	0.0	inf	False	False	1		
168.0475	18.281	1262	0.0	inf	False	False	1		
168.0475	11.777	1124	0.0	inf	False	False	1		
168.0476	0.155	1024	0.52	99.0	False	False	1		
168.0476	16.534	2742	0.68	1.0	False	False	1		
168.0476	0.114	1097	0.0	inf	False	False	1		
168.0477	13.287	2475	0.57	0.25	False	False	1		
168.0478	15.571	3134	0.89	0.33	False	False	1		
168.0478	16.569	2405	0.75	3.0	False	False	1		
168.0478	11.542	1307	0.0	inf	False	False	1		
168.0479	16.369	4165	0.61	2.0	False	False	1		
168.048	15.688	3409	0.41	2.33	False	False	1		
168.048	16.12	4872	0.74	2.0	False	False	1		
168.0482	11.883	1078	0.0	inf	False	False	1		
168.0482	16.823	1612	0.33	0.5	False	False	1		
168.0485	18.439	1233	0.0	inf	False	False	1		
168.0485	0.513	1045	0.65	0.0	False	False	1		
168.0485	19.271	1112	0.0	inf	False	False	1		
168.0487	17.479	1421	0.62	99.0	False	False	1		
168.049	19.618	1215	0.57	0.0	False	False	1		
168.0494	10.364	1145	0.65	0.0	False	False	1		
168.0498	16.297	1148	0.65	0.0	False	False	1		
168.0541	15.571	1155	0.0	inf	False	False	1		
168.1008	0.935	1398	0.73	99.0	False	False	1		
168.1384	0.935	1169	0.0	inf	False	False	1		
169.0389	2.634	3216	0.0	inf	False	False	1		
169.0488	15.972	1000	0.0	inf	False	False	1		
169.0511	9.651	1098	0.0	inf	False	False	1		
169.0862	1.178	2304	0.0	inf	False	False	1		
169.0866	10.259	1031	0.0	inf	False	False	1		
