m/z	RT
826.5972	4.008
933.8684	15.139
812.5432	3.066
1189.3553	8.387
485.3884	1.674
934.8089	13.041
926.2703	4.91
761.625	7.094
804.5484	2.603
583.5551	9.758
879.8599	14.791
809.6527	10.794
774.6578	9.595
397.3481	1.732
1023.7242	1.594
879.7429	14.295
518.3226	1.538
814.5608	3.538
547.3574	1.965
847.8204	13.87
796.7313	13.784
830.5685	5.835
928.834	14.698
1349.202	12.618
891.2794	4.022
874.8168	13.95
787.6614	8.889
720.5918	7.982
843.6431	6.292
664.6039	14.294
787.5961	6.292
865.6278	5.283
785.626	6.061
1366.2153	14.382
837.6839	12.059
733.5588	5.705
721.565	6.701
864.794	14.343
760.6353	5.929
344.3215	9.993
1323.3286	14.924
731.5982	5.835
810.5997	8.656
788.6551	8.723
712.6452	12.96
862.7514	12.389
669.6103	12.946
520.39	1.411
921.7749	13.692
671.6259	13.514
1329.2877	14.844
689.6561	13.509
652.6558	11.535
1296.1549	12.628
814.5607	3.162
930.8496	14.802
851.8281	14.467
860.649	5.14
822.5657	3.543
823.6711	7.235
926.8088	14.13
757.559	4.864
1373.3819	11.872
861.7674	13.826
691.6565	14.339
764.6779	13.106
841.6275	5.61
527.4176	1.611
818.6304	5.971
852.2521	4.022
763.6057	8.575
724.6309	7.372
1221.0925	9.993
856.8584	14.569
619.5951	9.758
877.7278	13.95
1187.355	8.387
814.5608	2.247
718.576	7.699
847.6746	8.67
645.5619	12.342
568.3407	1.318
1445.1282	7.392
1206.997	6.745
662.5973	7.193
1225.9689	6.701
371.3648	13.514
899.852	13.989
769.7127	13.78
881.8288	14.791
765.6548	7.275
645.562	12.528
617.6209	10.017
763.6363	12.445
373.3746	13.509
822.8072	14.13
682.6139	12.585
582.5513	7.392
820.8003	13.828
287.3143	2.497
727.6636	12.968
813.7245	10.644
820.7783	13.826
650.6459	12.533
318.3058	9.993
703.6112	5.79
648.5174	11.122
1327.3505	14.884
1317.286	14.577
945.7885	12.342
902.8585	14.574
704.6361	5.702
740.678	13.372
525.4252	1.963
761.6479	7.1
1427.1856	12.445
871.6746	7.794
1224.3464	9.657
815.7398	12.015
550.6296	9.098
542.3228	1.411
809.5828	5.278
808.7411	14.034
902.8804	14.608
908.8568	15.139
1224.1057	9.993
902.7468	12.165
691.6786	14.343
587.5498	9.286
1217.1428	9.993
812.6562	7.825
770.5981	6.52
588.3911	1.504
520.37	1.411
823.6683	11.682
1428.1888	12.445
485.369	1.674
758.6074	6.195
1011.7207	1.64
833.6523	8.844
784.712	14.083
892.7894	12.767
807.6334	5.278
776.5726	3.162
799.5692	3.209
408.3092	2.139
786.6389	7.56
1366.2004	12.581
866.6399	5.792
723.6042	7.514
965.2991	4.91
1017.6894	1.594
842.725	13.277
702.5111	5.878
524.4013	2.058
799.5696	3.398
782.6075	5.048
773.5902	6.426
529.3938	1.64
1021.9649	14.912
874.8408	13.913
805.557	5.835
770.6069	8.125
1048.7402	1.998
768.5913	6.919
787.7073	10.749
912.7664	12.248
848.8107	14.089
1447.4023	12.106
792.5914	6.104
1299.1822	14.569
904.8768	14.791
1411.4115	11.872
813.6581	7.747
787.7297	10.733
929.8364	14.651
814.5608	3.35
939.8146	13.997
736.5774	6.967
811.707	8.844
1298.1788	14.539
862.7782	14.043
768.5813	6.242
859.6464	5.19
824.581	3.255
665.6073	12.627
1226.9727	6.701
808.6463	5.789
1337.392	11.306
931.8506	14.791
823.6711	7.03
578.3938	1.411
225.1966	1.131
1261.3743	9.657
563.521	6.919
1235.8464	4.952
947.8042	12.665
890.8091	14.382
689.6078	14.041
911.7832	13.69
596.5931	7.572
839.6371	8.172
851.8416	14.499
888.7867	13.864
836.6715	10.593
870.8179	13.69
860.6726	5.142
785.6482	6.103
739.6021	6.964
1336.3927	11.306
892.2801	4.022
665.4616	6.701
929.7649	12.015
707.6182	12.572
1327.335	14.966
924.7936	13.829
1385.9615	6.656
993.6803	1.566
816.7419	12.063
966.3006	4.91
871.7395	10.593
1027.9976	14.884
981.6775	1.629
