m/z,RT,RI,RI_uncertainty,RI_reliability,RI_spread,n_contributing,is_extrapolated,calibration_scope,warp_source
740.5746,5.419,25.246617637001755,0.7327801041558697,medium,,1,False,project,self
1398.1888,15.187,81.41574889597133,0.4262475891876686,high,,1,False,project,self
667.5454,9.668,49.57745161819628,0.43543287748958937,high,,1,False,project,self
1074.8023,15.296,82.04126224599185,0.422810307099053,high,,1,False,project,self
965.785,10.906,56.914635007293604,0.4702401412338131,high,,1,False,project,self
799.6218,16.697,90.01052646745867,0.5408848575562445,high,,1,False,project,self
804.5766,7.915,39.667009710041214,0.581393571248121,high,,1,False,project,self
873.569,3.182,13.568221538016937,1.7657868319303212,medium,,1,False,project,self
419.3488,7.778,38.87053349818191,0.6194479383137318,medium,,1,False,project,self
550.6287,18.971,,,none,,1,True,project,self
828.6026,4.671,20.96421094059363,0.7717595466698501,medium,,1,False,project,self
708.6652,17.327,93.60884886764194,0.37219018175365304,high,,1,False,project,self
1000.3247,16.284,87.66550239738807,0.7369835031103832,medium,,1,False,project,self
904.7501,13.835,73.50777564965604,0.7379920940213112,medium,,1,False,project,self
622.4079,2.853,11.187659824189044,1.7657868319303212,medium,,1,False,project,self
1467.1899,11.235,58.80751648466104,0.4787792802431595,high,,1,False,project,self
1161.0829,10.961,57.23658425225816,0.47230070698401005,high,,1,False,project,self
832.2409,15.9,85.48584337374128,0.6214131704911303,medium,,1,False,project,self
554.3448,2.114,4.6746486504363585,1.7657868319303212,medium,,1,False,project,self
892.5573,9.172,46.793322533234544,0.5186442803736905,high,,1,False,project,self
827.7104,23.767,,,none,,1,True,project,self
1377.9785,11.152,58.33681482092811,0.47760192606428736,high,,1,False,project,self
702.5091,1.813,,,none,,1,True,project,self
653.4546,7.997,40.1478077612911,0.5592768555407112,high,,1,False,project,self
1026.5937,2.194,5.446435730356515,1.7657868319303212,medium,,1,False,project,self
796.703,16.775,90.45420284341898,0.5078183309754986,high,,1,False,project,self
860.6128,9.227,47.09925201318638,0.4959956060115724,high,,1,False,project,self
577.5191,17.545,94.86439354467346,0.37076178714814767,high,,1,False,project,self
1060.0095,19.991,,,none,,1,True,project,self
892.6792,7.668,38.24204214466871,0.6508611080474843,medium,,1,False,project,self
1084.8612,12.59,66.28739482442617,0.4984753330950559,high,,1,False,project,self
1074.8031,16.284,87.66550239738807,0.7369835031103832,medium,,1,False,project,self
236.0718,9.036,46.0381404069695,0.5057604637886757,high,,1,False,project,self
828.716,17.054,92.04486289644225,0.40833923606474204,high,,1,False,project,self
646.6497,15.79,84.8605532489838,0.5705715301939314,high,,1,False,project,self
879.588,9.778,50.20637145199786,0.4334940855943076,high,,1,False,project,self
696.665,23.121,,,none,,1,True,project,self
1002.8339,15.543,83.45364830184573,0.4675434281384673,high,,1,False,project,self
950.8382,23.039,,,none,,1,True,project,self
942.6879,9.778,50.20637145199786,0.4334940855943076,high,,1,False,project,self
779.6744,15.078,80.78863607472181,0.42974730388290244,high,,1,False,project,self
1008.1218,2.221,5.7036481514847335,1.7657868319303212,medium,,1,False,project,self
650.4392,4.177,18.5825047443268,1.0783484208896412,medium,,1,False,project,self
710.4924,3.293,14.286926082902136,1.7657868319303212,medium,,1,False,project,self
717.5436,9.64,49.41821458907267,0.43592909491258214,high,,1,False,project,self
538.5559,18.146,98.34749892183586,0.3871856802268384,high,,1,False,project,self
1000.8538,15.981,85.9459273066396,0.6602194805267206,medium,,1,False,project,self
1047.7764,13.474,71.38464889021078,0.5647281678549736,high,,1,False,project,self
868.7963,18.201,98.66741633527236,0.37544215569832,high,,1,False,project,self
154.0974,0.952,,,none,,1,True,project,self
847.5674,3.653,16.28093025776593,1.5401712372459537,medium,,1,False,project,self
889.6683,16.916,91.25727972257042,0.4532034086907314,high,,1,False,project,self
888.5408,9.805,50.361620978942156,0.433020808888816,high,,1,False,project,self
802.7127,11.98,62.92117241740582,0.5478744539062143,high,,1,False,project,self
297.2424,23.56,,,none,,1,True,project,self
890.5762,5.859,28.128342798577677,0.7988871942068801,medium,,1,False,project,self
1044.7561,12.838,67.69531431610999,0.49602477899530534,high,,1,False,project,self
687.5714,12.708,66.95402298850576,0.5002310503579737,high,,1,False,project,self
699.521,11.125,58.18284466271518,0.4772196878645844,high,,1,False,project,self
495.3637,2.413,7.482492764866248,1.7657868319303212,medium,,1,False,project,self
830.7315,15.9,85.48584337374128,0.6214131704911303,medium,,1,False,project,self
776.544,3.705,16.528608199115926,1.4938202244366878,medium,,1,False,project,self
841.6603,16.94,91.39412804127603,0.44471056587134256,high,,1,False,project,self
926.7808,15.763,84.7069706884974,0.5584787213896468,high,,1,False,project,self
630.6184,17.573,95.026020579744,0.37076178714814767,high,,1,False,project,self
1384.2158,23.011,,,none,,1,True,project,self
879.7408,23.313,,,none,,1,True,project,self
426.8597,8.161,41.110175780520386,0.5168230144486304,high,,1,False,project,self
782.5597,4.118,18.33004961282851,1.1295771294717816,medium,,1,False,project,self
737.5916,10.051,51.79893184092932,0.4398123937831864,high,,1,False,project,self
973.8472,19.438,,,none,,1,True,project,self
919.7707,17.354,93.76403206594367,0.3717139659412288,high,,1,False,project,self
666.6379,23.121,,,none,,1,True,project,self
675.6028,23.121,,,none,,1,True,project,self
532.4105,6.602,33.08520180245181,0.9760370421766453,medium,,1,False,project,self
1000.8908,18.174,98.51034770535782,0.3809247448836846,high,,1,False,project,self
1169.1283,7.066,35.19387439027743,0.8311237111196697,medium,,1,False,project,self
743.6656,15.434,82.83115659118303,0.4292025610766268,high,,1,False,project,self
580.6029,19.654,,,none,,1,True,project,self
922.7976,15.763,84.7069706884974,0.5584787213896468,high,,1,False,project,self
737.6276,14.912,79.82972047469838,0.43455573400557196,high,,1,False,project,self
977.8586,16.505,88.9197101852865,0.6285201686025191,medium,,1,False,project,self
971.5916,9.118,46.493299361196016,0.5404502011151348,high,,1,False,project,self
769.7111,23.725,,,none,,1,True,project,self
955.8156,16.752,90.32333667211321,0.5173846688003486,high,,1,False,project,self
1147.8195,14.488,77.355007541778,0.464177455023346,high,,1,False,project,self
564.5712,18.338,99.4648813962675,0.37076178714814767,high,,1,False,project,self
718.5582,5.362,24.899790566366384,0.7357298078640366,medium,,1,False,project,self
796.6662,10.934,57.07880041510612,0.47128770410746307,high,,1,False,project,self
840.7291,16.834,90.79006424591203,0.48406529676846405,high,,1,False,project,self
813.5844,4.975,22.633155365136034,0.7558487378769577,medium,,1,False,project,self
236.1725,4.177,18.5825047443268,1.0783484208896412,medium,,1,False,project,self
627.5754,11.957,62.79551532359613,0.5580340934270417,high,,1,False,project,self
1040.7943,17.463,94.39150058696076,0.37076178714814767,high,,1,False,project,self
705.5495,15.434,82.83115659118303,0.4292025610766268,high,,1,False,project,self
919.6063,2.879,11.38871552808952,1.7657868319303212,medium,,1,False,project,self
765.5134,5.612,26.44496543151904,0.7228195225445997,medium,,1,False,project,self
924.308,16.505,88.9197101852865,0.6285201686025191,medium,,1,False,project,self
645.5341,11.481,60.18300307790135,0.4822891874354468,high,,1,False,project,self
837.5461,2.635,9.420834425655336,1.7657868319303212,medium,,1,False,project,self
702.5098,0.111,,,none,,1,True,project,self
860.4981,6.738,33.740632330794476,0.9331367924663947,medium,,1,False,project,self
782.7598,18.201,98.66741633527236,0.37544215569832,high,,1,False,project,self
566.5871,20.461,,,none,,1,True,project,self
856.5471,5.141,23.586341759851262,0.7471996508923376,medium,,1,False,project,self
776.2685,12.839,67.70103696832825,0.49599256368454225,high,,1,False,project,self
470.3686,5.583,26.262562297877526,0.7243134857652195,medium,,1,False,project,self
869.7,23.105,,,none,,1,True,project,self
978.8336,16.366,88.13077292833667,0.6960073469391895,medium,,1,False,project,self
822.7192,17.244,93.13240785345018,0.3736900387584642,high,,1,False,project,self
609.4688,5.39,25.06975342816215,0.734280383128175,medium,,1,False,project,self
1245.3129,2.25,5.978030313155979,1.7657868319303212,medium,,1,False,project,self
928.7615,9.53,48.795597703391245,0.4378890474681506,high,,1,False,project,self
812.6405,10.824,56.431004615646465,0.4671897974895322,high,,1,False,project,self
902.7448,10.989,57.39964429024165,0.47335416764970056,high,,1,False,project,self
552.5712,22.134,,,none,,1,True,project,self
783.7274,20.655,,,none,,1,True,project,self
841.7075,11.371,59.571166327677446,0.48071597050062115,high,,1,False,project,self
826.7492,17.409,94.08045977011496,0.37076178714814767,high,,1,False,project,self
822.6819,11.317,59.26899488678781,0.47994587629398344,high,,1,False,project,self
881.5734,3.07,12.798688927461017,1.7657868319303212,medium,,1,False,project,self
881.7196,13.335,70.57128763618289,0.5049395475096541,high,,1,False,project,self
664.4577,22.964,,,none,,1,True,project,self
796.5497,5.003,22.79189203539302,0.7543878772107444,medium,,1,False,project,self
577.5386,10.713,55.77064915995324,0.4631030191728782,high,,1,False,project,self
399.2139,1.091,,,none,,1,True,project,self
701.5397,4.67,20.958888100145405,0.7718120326487911,medium,,1,False,project,self
764.6194,10.879,56.75584263334152,0.4692328629353875,high,,1,False,project,self
713.591,14.886,79.67896202557658,0.4352508830952651,high,,1,False,project,self
783.5733,5.584,26.268838393951047,0.7242619536829292,medium,,1,False,project,self
1393.1239,15.406,82.67105836400083,0.4202972405263251,high,,1,False,project,self
679.567,23.601,,,none,,1,True,project,self
831.7278,17.246,93.14387801596264,0.373653263337671,high,,1,False,project,self
935.774,15.011,80.40229885057472,0.43192883187170084,high,,1,False,project,self
777.6212,10.107,52.131425990195936,0.441706670375198,high,,1,False,project,self
818.7197,13.809,73.35452192536547,0.7249131147442396,medium,,1,False,project,self
515.4127,23.698,,,none,,1,True,project,self
926.3045,15.79,84.8605532489838,0.5705715301939314,high,,1,False,project,self
682.5982,14.499,77.41957086050247,0.46010901476859994,high,,1,False,project,self
251.0468,7.641,38.08982557794349,0.6586747001978761,medium,,1,False,project,self
879.5963,10.051,51.79893184092932,0.4398123937831864,high,,1,False,project,self
871.6211,11.261,58.9542015139128,0.4791488089700606,high,,1,False,project,self
738.6971,17.272,93.29303577263758,0.37317802561368424,high,,1,False,project,self
412.7582,7.121,35.43805073610938,0.8142587598435843,medium,,1,False,project,self
886.6403,11.957,62.79551532359613,0.5580340934270417,high,,1,False,project,self
900.7655,15.927,85.63923413866485,0.634232793934663,medium,,1,False,project,self
854.554,4.285,19.05517262882534,0.9853640529306105,medium,,1,False,project,self
980.9113,19.494,,,none,,1,True,project,self
825.7376,17.163,92.66827242513068,0.3809247448836839,high,,1,False,project,self
880.5681,3.653,16.28093025776593,1.5401712372459537,medium,,1,False,project,self
722.587,15.078,80.78863607472181,0.42974730388290244,high,,1,False,project,self
921.7597,9.447,48.328560098150774,0.439378929887898,high,,1,False,project,self
369.3839,19.941,,,none,,1,True,project,self
1014.7825,13.641,72.365312922548,0.6423654627863739,medium,,1,False,project,self
446.371,4.809,21.709349954946834,0.7645256707791986,medium,,1,False,project,self
817.5788,3.816,17.03453065608225,1.3951749475195765,medium,,1,False,project,self
868.6069,5.859,28.128342798577677,0.7988871942068801,medium,,1,False,project,self
1017.6838,6.657,33.35702120076378,0.9586508544654284,medium,,1,False,project,self
1431.1953,15.05,80.62726487887701,0.43065620768518187,high,,1,False,project,self
988.8186,14.472,77.26107105464185,0.4701840873345547,high,,1,False,project,self
1014.7825,13.066,69.007352688586,0.48873655487588885,high,,1,False,project,self
380.2096,3.181,13.561545168296846,1.7657868319303212,medium,,1,False,project,self
640.5515,9.97,51.32107139899906,0.43709873848036734,high,,1,False,project,self
810.5412,7.805,39.0265199329865,0.6118484107425968,medium,,1,False,project,self
176.0191,6.904,34.48516855488026,0.8812241401594213,medium,,1,False,project,self
853.7265,15.9,85.48584337374128,0.6214131704911303,medium,,1,False,project,self
1055.2977,23.698,,,none,,1,True,project,self
287.237,2.465,7.948372983495598,1.7657868319303212,medium,,1,False,project,self
815.5562,7.669,38.24769696495386,0.6505724584895528,medium,,1,False,project,self
575.5757,17.627,95.33793815446221,0.3752498814459989,high,,1,False,project,self
883.7695,15.845,85.17327673547413,0.595696196504444,high,,1,False,project,self
580.416,1.895,,,none,,1,True,project,self
919.743,11.18,58.49603617440446,0.47799871415060496,high,,1,False,project,self
812.5791,7.805,39.0265199329865,0.6118484107425968,medium,,1,False,project,self
923.6745,13.418,71.05660483459349,0.5400158064597602,high,,1,False,project,self
431.3795,5.777,27.54106318299936,0.7699143591594568,medium,,1,False,project,self
755.638,14.253,75.97273362090517,0.5611514515062881,high,,1,False,project,self
753.6866,15.077,80.78287483668022,0.42977969566505997,high,,1,False,project,self
722.6814,18.859,,,none,,1,True,project,self
709.6899,10.934,57.07880041510612,0.47128770410746307,high,,1,False,project,self
364.2887,3.016,12.412277071751273,1.7657868319303212,medium,,1,False,project,self
1034.7925,17.105,92.33639175110187,0.39451243292465765,high,,1,False,project,self
644.6261,23.039,,,none,,1,True,project,self
441.4414,4.366,19.423603590506424,0.9164527129879277,medium,,1,False,project,self
944.8174,16.284,87.66550239738807,0.7369835031103832,medium,,1,False,project,self
1104.8131,14.819,79.28978328913493,0.43705218678869023,high,,1,False,project,self
946.8076,16.339,87.97756732457677,0.7094151573788756,medium,,1,False,project,self
874.571,9.09,46.33783348733003,0.5283884557483459,high,,1,False,project,self
399.2369,2.988,12.208069479887833,1.7657868319303212,medium,,1,False,project,self
854.5833,1.785,,,none,,1,True,project,self
882.6883,13.058,68.9610853521815,0.48899032055566577,high,,1,False,project,self
934.7338,11.179,58.49035743119993,0.47798453626975657,high,,1,False,project,self
819.6607,15.214,81.57083528598555,0.42539027613219893,high,,1,False,project,self
