m/z	RT	isotope_state	is_isotope	is_in_source_fragment	MS2	P_RT-A1	P_RT-A2
907.7733	15.536	M+0	False	False		2692	2532
579.5769	12.093	M+0	False	False		2690	3752
1371.237	16.129	M+0	False	False		0	2689
571.4308	10.023	M+0	False	False		1381	2687
621.5196	5.853	M+0	False	False		2083	2687
1012.3042	8.275	M+0	False	False		1191	2686
757.537	10.639	M+0	False	False		2686	1687
355.0714	12.944	M+0	False	False		2523	2685
790.7775	11.175	M+0	False	False		2684	2502
372.102	12.778	M+0	False	False		1335	2683
421.9365	4.238	M+0	False	False		2631	2682
843.5216	3.17	M+0	False	False		3448	2682
473.2574	1.635	M+0	False	False		2416	2681
928.3691	2.981	M+0	False	False		2724	2681
1358.1682	14.707	M+2	True	False		2969	2681
723.5135	15.677	M+0	False	False		2015	2679
818.6665	12.731	M+0	False	False		2524	2679
825.5854	2.281	M+1	True	False		2423	2678
1345.1786	15.398	M+0	False	False		2868	2677
980.7864	15.339	M+0	False	False		2801	2677
247.1683	13.038	M+0	False	False		2045	2675
688.6039	16.216	M+0	False	False		2605	2675
242.1218	18.225	M+0	False	False		2311	2674
421.3248	7.31	M+0	False	False		2674	2348
878.7352	14.766	M+0	False	False		2007	2674
739.6579	12.932	M+0	False	False		2554	2673
855.8505	14.462	M+0	False	False		2672	0
722.5421	3.181	M+0	False	False		2206	2672
898.792	12.805	M+0	False	False		2671	2174
1130.2937	10.978	M+0	False	False		1367	2671
548.539	12.684	M+0	False	False		2912	2670
929.8301	15.987	M+0	False	False		2767	2670
923.0295	11.098	M+0	False	False		2707	2667
753.5904	8.83	M+1	True	False		2150	2665
1185.3945	13.219	M+0	False	False		2665	3381
421.2239	0.604	M+0	False	False		2665	2142
767.5619	15.544	M+0	False	False		1530	2665
648.5959	11.095	M+0	False	False		2664	2235
388.2536	17.24	M+0	False	False		2662	1736
388.2548	0.344	M+0	False	False		2661	1755
659.4795	8.0	M+0	False	False		2661	1484
951.8066	14.32	M+1	True	False		2661	2146
663.4744	3.691	M+0	False	False		2506	2659
546.4018	19.598	M+0	False	False		2658	2182
1340.2383	15.269	M+0	False	False		3122	2657
566.575	13.659	M+0	False	False		2657	1964
723.6406	12.949	M+0	False	False		2656	3246
840.5158	4.899	M+0	False	False		2656	2093
728.5618	12.104	M+3	True	False		2712	2655
766.4606	4.924	M+0	False	False		2547	2655
1198.2145	15.503	M+0	False	False		2261	2655
383.3311	12.304	M+0	False	False		1909	2655
724.5156	6.309	M+0	False	False		2504	2655
421.3288	8.45	M+0	False	False		1628	2654
648.6176	13.038	M+1	True	False		2354	2654
572.3626	16.173	M+0	False	False		2170	2653
724.5206	3.122	M+3	True	False		2227	2653
959.9628	6.594	M+0	False	False		2652	1850
682.4865	7.38	M+0	False	False		2350	2651
1337.3682	14.604	M+0	False	False		2650	2533
963.9062	15.813	M+0	False	False		2649	2474
593.5994	15.386	M+0	False	False		1768	2649
869.611	13.02	M+0	False	False		2645	1916
936.3843	2.414	M+0	False	False		2644	3228
1097.319	9.993	M+0	False	False		1275	2644
652.5294	6.474	M+0	False	False		2903	2642
810.558	13.163	M+0	False	False		2642	2239
848.6872	11.13	M+0	False	False		1820	2642
