m/z	RT
1066.3037	13.192
339.3455	3.309
733.558	5.71
816.6495	10.594
704.4506	1.673
762.5833	5.979
303.2325	14.038
1175.3339	13.475
801.6245	10.375
1322.168	14.604
915.767	12.789
729.631	14.085
1319.3058	15.129
721.5081	7.356
721.5979	12.093
792.6304	8.668
1381.2158	13.993
1374.3843	11.903
655.5999	11.719
200.0745	16.608
789.7738	8.8
616.6258	11.856
907.2622	11.951
574.4923	4.191
814.6219	10.478
840.5141	1.999
761.7402	7.218
721.5082	5.757
443.2806	1.673
758.223	8.876
794.6457	10.441
477.7653	1.587
679.4468	4.421
802.1262	10.441
832.6551	8.767
877.4891	1.767
806.5115	3.075
1384.9595	6.693
451.2781	1.72
978.7776	15.176
908.2605	11.951
1383.9559	6.693
1359.374	14.038
670.6913	14.938
1318.2157	14.604
652.6232	3.463
1360.3821	14.038
1322.1824	14.896
967.298	4.924
370.3924	14.038
356.1838	0.982
1268.3733	12.454
592.4581	2.319
1304.2785	14.896
1100.8139	13.286
729.6309	13.947
680.6556	4.409
716.6189	13.947
454.2271	1.026
1075.0713	7.521
651.6179	3.584
1196.9388	10.412
184.0737	5.947
790.5515	2.772
892.2805	4.027
764.5988	7.104
757.7068	5.329
1103.3123	13.286
686.4403	6.693
441.7888	1.484
1319.3822	13.239
580.5847	11.766
699.4721	2.046
747.605	12.092
746.5709	6.375
1244.1013	12.363
1318.3826	13.239
1029.2936	13.133
637.637	11.537
821.537	1.858
563.4149	1.729
812.606	8.74
786.5279	1.867
539.3198	1.402
1306.225	14.854
369.352	12.093
1212.3425	13.57
702.8636	0.991
791.7903	10.594
1271.188	12.454
895.4898	1.72
927.2719	4.924
772.5495	3.228
1225.345	9.645
616.5847	11.52
623.5844	2.793
992.2839	12.991
698.4894	2.179
763.6064	8.539
999.8303	15.176
1250.3522	13.618
1339.3908	11.298
680.4524	1.961
1321.032	14.896
680.4816	12.411
595.3814	2.1
663.5338	12.545
818.7158	11.951
817.2608	3.24
538.3178	1.393
834.6713	10.33
770.4547	1.905
650.4388	3.493
184.0737	7.127
685.2053	7.287
721.5082	4.946
710.5362	3.584
1245.1045	12.363
1140.3222	13.381
762.6246	12.093
1245.3628	13.085
1177.3317	13.475
1294.2248	14.854
777.2349	3.24
657.4099	2.319
1137.8234	13.381
595.3583	2.134
1249.8503	13.618
721.5074	4.731
873.4434	4.858
1293.2218	14.854
696.4459	1.579
843.4916	2.772
457.3	1.484
1331.0439	14.222
824.5202	2.179
1280.3345	12.363
495.4642	2.96
1322.0889	12.093
834.6716	10.549
1483.431	12.151
709.5336	13.947
1170.3455	12.885
635.5025	11.951
685.5243	2.866
800.1103	8.668
759.7228	6.095
1321.4548	15.033
782.5596	6.032
1098.0545	7.521
658.4056	2.319
696.4382	2.772
784.5748	7.196
759.4995	6.016
879.7568	12.684
879.2569	12.684
1274.1982	12.454
210.0894	4.227
804.6239	7.034
1364.1914	14.038
1265.3724	9.645
702.2154	2.564
607.6132	12.454
690.5718	14.038
680.4816	11.951
917.7656	12.778
726.5534	12.093
288.2905	15.813
1411.4117	11.903
681.4543	1.587
1154.1167	9.254
595.6057	11.537
1287.361	13.712
802.609	6.05
721.5086	4.321
716.4676	2.008
1272.2058	12.59
799.6086	8.704
1323.0932	12.093
676.5948	12.901
1234.1537	14.696
721.507	4.136
721.5082	3.739
666.5105	3.205
1250.851	13.665
664.4928	3.917
721.5089	12.246
823.4925	1.952
848.7718	14.222
1487.4286	12.151
1302.283	15.033
638.6096	7.955
161.1329	14.038
698.5005	1.776
478.7641	1.579
1287.8605	13.712
594.3783	2.134
1244.3646	13.085
668.4425	1.587
513.3136	1.161
1169.3443	12.885
269.1631	2.319
343.3122	12.454
955.274	12.932
850.788	14.459
1393.4009	13.428
688.5646	14.038
800.593	5.19
1214.3412	13.57
792.5164	2.866
695.6464	15.08
623.4078	2.728
610.6089	9.254
682.4663	2.046
828.5875	2.866
789.574	8.74
775.5694	3.786
780.5438	5.261
524.3719	2.008
802.6079	5.9
210.0896	1.626
766.7297	7.926
655.5997	11.999
1354.3531	12.542
709.533	14.128
893.279	4.027
992.6046	1.349
653.6598	11.52
1320.381	13.239
615.7114	11.764
901.7279	13.708
1197.4403	10.415
1430.3915	13.57
652.42	1.532
818.6918	7.196
706.5397	5.591
